1,abandon,…を捨て去る,5,0
2,absorb,…を吸収する，…を没頭させる,5,0
3,accomplish,…を成し遂げる,5,0
4,accompany,…に付き添う,5,0
5,accuse,…を非難［告発］する,5,0
6,adapt,…を適合［適応］させる,5,0
7,admire,…をすばらしいと思う，…を賞賛する,5,0
8,admit,…を認める,5,0
9,adopt,…を自分のものにする,5,0
10,advertise,…を宣伝［広告］する,5,0
11,afford,…の余裕がある,5,0
12,aim,ねらいをつける／目的,5,0
13,alter,…を変える,5,0
14,annoy,…をいらだたせる,5,0
15,appeal,訴える,5,0
16,arise,起こる，生じる,5,0
17,arrange,（…を）計画・準備する,5,0
18,associate,…を結びつけて考える,5,0
19,attach,…を貼り付ける，…を取り付ける,5,0
20,attend,…に出席する,5,0
21,attract,…を引きつける,5,0
22,behave,振る舞う,5,0
23,bind,…を縛りつける,5,0
24,block,…を妨げる,5,0
25,blow,（…を）吹く／打撃,5,0
26,borrow,…を借りる,5,0
27,breathe,呼吸をする,5,0
28,collect,…を集める，…を徴収する,5,0
29,combine,…を結合させる,5,0
30,command,…に［を］命じる／行使する力,5,0
31,compete,競争する,5,0
32,complain,不満を言う,5,0
33,compose,…を構成する，＜曲や詩＞を作る,5,0
34,concentrate,集中する,5,0
35,conclude,締めくくる，…という結論を下す,5,0
36,confuse,…を混乱させる,5,0
37,connect,…をつなげる,5,0
38,considerable,かなりの,5,0
39,consist,成り立つ，存在する,5,0
40,construct,…を組み立てる，…を建造する,5,0
41,contribute,寄付する，貢献する,5,0
42,convey,…を伝える，…を運ぶ,5,0
43,convince,…に納得させる,5,0
44,cope,対処する,5,0
45,criticize,…を批判する,5,0
46,decision,決定，決心,5,0
47,declare,…を宣言する,5,0
48,decrease,減少する／減少,5,0
49,defeat,…を負かす,5,0
50,defend,…を守る,5,0
51,deny,…を否定する,5,0
52,derive,…を引き出す,5,0
53,devote,＜時間・努力＞を注ぐ,5,0
54,disappoint,…をがっかりさせる,5,0
55,discuss,…について議論する,5,0
56,dislike,…を嫌がる／嫌悪,5,0
57,display,…を展示する／展示,5,0
58,distinguish,…を区別する,5,0
59,disturb,…の平穏を妨げる,5,0
60,divide,…を分割する,5,0
61,educate,…を教育する,5,0
62,emerge,現れる,5,0
63,emphasize,…を強調する,5,0
64,employ,…を雇う,5,0
65,enable,…に可能にさせる,5,0
66,encounter,…に遭遇する,5,0
67,entertain,…を楽しませる,5,0
68,estimate,…を推定する，…を見積もる／推定,5,0
69,examine,…を検査する，…を調べる,5,0
70,expand,…を拡大する,5,0
71,explore,…を探索［探検］する,5,0
72,export,…を輸出する／輸出,5,0
73,expose,…を明らかにする，…をさらす,5,0
74,extend,延びる，…を拡張する,5,0
75,fix,…を固定する，…を修理する,5,0
76,frighten,…をおびえさせる，…を怖がらせる,5,0
77,govern,…を統治する,5,0
78,graduate,卒業する,5,0
79,greet,…にあいさつをする,5,0
80,handle,…を手で扱う，…にうまく対処する,5,0
81,hang,…をつるす，…を絞首刑にする,5,0
82,hate,…をひどく嫌う,5,0
83,hesitate,ためらう,5,0
84,hire,…を雇う,5,0
85,identify,…を見分ける,5,0
86,ignore,…を無視する,5,0
87,imply,…をほのめかす,5,0
88,import,…を輸入する／輸入,5,0
89,impress,…に感銘を与える,5,0
90,inform,…に知らせる,5,0
91,intend,意図する，つもりである,5,0
92,interpret,…を解釈する，通訳する,5,0
93,isolate,…を孤立させる,5,0
94,judge,…を判断する／審判員，裁判官,5,0
95,notice,…に気づく／注意，掲示,5,0
96,obtain,…を手に入れる,5,0
97,occupy,…を占める，…を占領する,5,0
98,oppose,…に反対する,5,0
99,organize,…を組織する,5,0
100,overcome,…を克服する,5,0
101,participate,参加する,5,0
102,pause,話し［行動］を中断する／間（ま），小休止,5,0
103,perceive,…を知覚する,5,0
104,permit,…を許可する,5,0
105,persuade,説得する,5,0
106,possess,…を所有する,5,0
107,praise,…をほめる,5,0
108,predict,…を予想する，…を予測する,5,0
109,preserve,…を保存［保護］する,5,0
110,pretend,…のふりをする,5,0
111,promote,…を促進する,5,0
112,propose,…を提案する,5,0
113,punish,…を罰する,5,0
114,purchase,…を購入する／購入,5,0
115,pursue,…を追い求める,5,0
116,quit,（…を）やめる,5,0
117,react,反応する,5,0
118,recommend,…を薦める,5,0
119,recover,回復する,5,0
120,reject,…を拒絶する,5,0
121,release,…を解き放つ,5,0
122,rely,頼る，信頼する,5,0
123,remind,…に思い出させる,5,0
124,remove,…を取り除く,5,0
125,repair,…を修理する,5,0
126,replace,…に取って代わる,5,0
127,reserve,…を取っておく，…を予約する,5,0
128,respond,反応する，返答する,5,0
129,retire,退職する，引退する,5,0
130,roll,転がる,5,0
131,rush,突進する，ダッシュする,5,0
132,select,…を選び出す,5,0
133,settle,…を決着させる，落ち着く,5,0
134,sink,沈む,5,0
135,smell,…な臭いがする，…の臭いをかぐ,5,0
136,stare,…をじっと見つめる,5,0
137,stimulate,…を刺激する,5,0
138,stretch,広がる／広がり,5,0
139,suit,…に適合する／訴訟,5,0
140,surround,…を取り囲む,5,0
141,suspect,…を疑う，…ではないかと思う／容疑者,5,0
142,tear,…を引き裂く／涙,5,0
143,threaten,…を脅かす,5,0
144,transfer,…を移す,5,0
145,transform,…を変える,5,0
146,translate,…を翻訳する,5,0
147,transport,…を輸送する／輸送,5,0
148,vote,投票する／投票,5,0
149,warn,…に警告する,5,0
150,account,説明，口座／説明する，占める,5,0
151,addition,付加，追加,5,0
152,address,住所，演説／…の前で演説をする,5,0
153,advice,助言,5,0
154,affair,事柄，出来事,5,0
155,agent,代理人，代理店,5,0
156,agreement,同意，一致,5,0
157,agriculture,農業,5,0
158,alternative,代替となるもの／代替の,5,0
159,ancestor,祖先,5,0
160,anger,怒り,5,0
161,anxiety,心配，不安,5,0
162,appearance,出現，外見,5,0
163,assumption,想定，思いこみ,5,0
164,association,協会，組合,5,0
165,author,著者，作家,5,0
166,authority,権威,5,0
